idPrd	codePrd	libPrd	prixAchat	puVente	ccQteStock
261	3596490007423	RC LAIT ONCTUEUX CORPS 500ML	NULL	720	2
262	3596490007409	RC CREME PERLEE CORPS 400ML	450	720	2
263	3596490007362	RC CREME MAINS RICHE 50ML	NULL	270	2
264	3596490007386	RC CREME MAINS LEGERE 50ML	NULL	270	2
265	3596490007379	RC CREME MIRACULEUSE 100ML	NULL	360	2
266	3596490003593	RC NUTRISSANCE CREME MAINS T50ML	NULL	210	3
267	3596490004095	RC LINGETTE ANTI-BACTERIEN	NULL	223	12
268	3596490005634	RC LINGETTE EXTR-DOUCE	NULL	230	12
269	3596490005610	RC LINGETTE SECHERESSE	NULL	230	12
270	3596490007416	RC BEURRE FOUDANT CORPS 200ML	NULL	580	2
271	898220011780	CGN Hydrolized Collagen Peptides plus VItamin C	1000	1450	0
272	097467459717	NP Collagen Peptides	800	1740	0
273	898220016648	CGN Resveratol Complex	350	890	0
274	3700281702736	TOP DA Protect Baume Emmoliant	0	690	0
275	3700281702286	TOP Ultra Hydratant Lait Corps	380	630	0
276	076791002127	HL Hair Follicle Simulator	630	980	0
277	3337875722520	VICHY Liftactiv Collagen Specialist 16  creme nuit	1320	1840	0
278	AROMACOLOR	Deodirizer Ball	50	200	0
279	3282770389197	DUCRAY MELASCREN TACHE BRUNES 30ML	756.9	1190	0
280	3337872411991	LRP EFFACLAR GEL MOUSS 400ML	456	670	0
281	3760019121642	SOS LAIT ECLAIRCISSANT ZONES SENSIBLES	430	650	0
282	3401344502200	SVR CICAVIT CREME 100ML	460	690	0
283	3337875734905	VICHY LIFTACTIV SERUM B3 30ML	1070	1490	0
284	3337875912600	VICHY LIFTACTIVE SERUM COLLAGEN 16 30ML	1130	1570	0
285	3337875552127	LRP  LIPIKAR LAIT 400ML	520	780	0
286	769915190311	THE ORDINARY NIACINAMIDE 30ML	450	650	0
287	8470007896937	MOSEGOR 10ML	400	1000	0
288	3662361004089	SVR AMPOULE LIFT RETINOL SERUM 30ML	1080	1680	0
289	7898593281851	SORALI THERAPY LISS NO FRIZZ 120G	790	1080	0
290	7898593281806	SORALI THERAPY LISS NO FRIZZ 1KG	3640	4500	0
291	898220010332	CGN COLLAGENUP +HYALOR ACID+VIT C	900	1330	0
292	D0004	AROMA DIFFUSER LIFT OF LEISURE 700ML	300	980	0
293	3760019125909	SOS SERUM ANTI-TACHE ECLAT 30ML	530	790	0
294	3760019125923	SOS MELADERM CREME UNIF 50ML	620	930	0
295	3760019125886	SOS MELADERM LAIT ECLAIRCISS 150ML	480	750	0
296	3401361353625	BIO SEBIOM PORE REFINER 30ML	460	690	0
297	3662361001934	SVR BAUME NUIT DENSITIUM 50ML	1410	1970	0
298	3401360147508	BIO SEBIUM GLOBAL 30ML	320	550	0
299	3337875847292	LRP ANTHELIOS FLUIDE OIL CONTROL 50+	470	750	0
300	3282770112047	AVENE FLUIDE 50+ 50ML	450	740	0
301	3337875777797	LRP EFFACLAR H 40ML	380	640	0
302	3337875890021	LRP MELA B3 SERUM 30ML	1700	1980	0
303	3337875797467	LRP ANTHELIOS IOL CORRECT SPF50+	750	1080	0
304	3760095250274	ACM SEBIONEX GEL 200ML	360	550	0
305	3760095251929	ACM DEPIWHITE 500ML	600	955	0
306	3760095250441	ACM DEPIWHITE ADVANCED 40ML	630	950	0
307	3760095250205	ACM DEPIWHITE GEL CONTOUR LOEIL	370	660	0
308	3337875814652	CERAVE CREME HYDRATANTE VISAGE SPF50	440	660	0
309	3760019121734	SOS CREME SOLAIRE TRES HAUTE PROTECTION 50+0RICHE	300	450	0
310	3760019121086	SOS CREME CLARIFIANTE NUIT 50ML	570	790	0
311	3700281702774	TOPICREM AC GEL NETTOYANT PURIFIANT	260	390	0
312	3700281704471	TOPICREM CICA+ HUILE CONCENTREE 100ML	430	650	0
313	8680512607144	BIOBLAS ARGAN OIL CARE 100ML	170	250	0
314	3700281703296	TOP CREME AC CONTROL GEL NETTOYANT 400ML	360	670	0
315	087614018836	SWANSON HAIR SKIN & NAILS 60TAB	330	690	0
316	898220010592	CGN CREATINE MONOHYDRATE	900	1650	0
317	098220011704	CGN BIOTIN 10000mcg	400	750	0
318	733739077585	CGN SHEA BUTTER	400	600	0
319	scanner	scanner machine	1	500	0
